investor_name,issuer,rank,cusip,value,weight
"Capital Research Global Investors","AZEK CO INC",164,05478C105,406452494,0.1000
"Capital Research Global Investors","MARSH & MCLENNAN COS INC",165,571748102,405607903,0.0998
"Capital Research Global Investors","SAIA INC",166,78709Y105,403275461,0.0992
"Capital Research Global Investors","FIVE BELOW INC",167,33829M101,398056476,0.0979
"Capital Research Global Investors","TELUS CORPORATION",168,87971M103,395314193,0.0973
"Capital Research Global Investors","APTIV PLC",169,G6095L109,391941723,0.0964
"Capital Research Global Investors","MONOLITHIC PWR SYS INC",170,609839105,388674020,0.0956
"Capital Research Global Investors","INTUIT",171,461202103,367683273,0.0905
"Capital Research Global Investors","L3HARRIS TECHNOLOGIES INC",172,502431109,364936219,0.0898
"Capital Research Global Investors","HALLIBURTON CO",173,406216101,363747662,0.0895
"Capital Research Global Investors","TORONTO DOMINION BK ONT",174,891160509,363069966,0.0893
"Capital Research Global Investors","AUTODESK INC",175,052769106,362551394,0.0892
"Capital Research Global Investors","REGENERON PHARMACEUTICALS",176,75886F107,356940569,0.0878
"Capital Research Global Investors","LOCKHEED MARTIN CORP",177,539830109,333031113,0.0819
"Capital Research Global Investors","STEEL DYNAMICS INC",178,858119100,327593811,0.0806
"Capital Research Global Investors","ZSCALER INC",179,98980G102,327054022,0.0805
"Capital Research Global Investors","CROWN CASTLE INC",180,22822V101,324975180,0.0800
"Capital Research Global Investors","CMS ENERGY CORP",181,125896100,324816810,0.0799
"Capital Research Global Investors","PROGRESSIVE CORP",182,743315103,319879794,0.0787
"Capital Research Global Investors","KIMCO RLTY CORP",183,49446R109,319472290,0.0786
"Capital Research Global Investors","CARMAX INC",184,143130102,317625710,0.0781
"Capital Research Global Investors","APOLLO GLOBAL MGMT INC",185,03769M106,314799548,0.0774
"Capital Research Global Investors","MONGODB INC",186,60937P106,314344731,0.0773
"Capital Research Global Investors","CONMED CORP",187,207410101,301930897,0.0743
"Capital Research Global Investors","CENCORA INC",188,03073E105,301857666,0.0743
"Capital Research Global Investors","INTERNATIONAL FLAVORS&FRAGRA",189,459506101,299550701,0.0737
"Capital Research Global Investors","S&P GLOBAL INC",190,78409V104,298180930,0.0734
"Capital Research Global Investors","STERICYCLE INC",191,858912108,296762158,0.0730
"Capital Research Global Investors","DIGITAL RLTY TR INC",192,253868103,295224290,0.0726
"Capital Research Global Investors","THOR INDS INC",193,885160101,295165717,0.0726
"Capital Research Global Investors","ENSIGN GROUP INC",194,29358P101,294030596,0.0723
"Capital Research Global Investors","UNITY SOFTWARE INC",195,91332U101,293658118,0.0722
"Capital Research Global Investors","PUBLIC SVC ENTERPRISE GRP IN",196,744573106,289535527,0.0712
"Capital Research Global Investors","AMPHENOL CORP NEW",197,032095101,279306408,0.0687
"Capital Research Global Investors","RENAISSANCERE HLDGS LTD",198,G7496G103,278963076,0.0686
"Capital Research Global Investors","DATADOG INC",199,23804L103,277071334,0.0682
"Capital Research Global Investors","IRHYTHM TECHNOLOGIES INC",200,450056106,267131807,0.0657
"Capital Research Global Investors","MASIMO CORP",201,574795100,265971643,0.0654
"Capital Research Global Investors","JANUS HENDERSON GROUP PLC",202,G4474Y214,263143381,0.0647
"Capital Research Global Investors","HUBSPOT INC",203,443573100,260063343,0.0640
"Capital Research Global Investors","TYSON FOODS INC",204,902494103,259456141,0.0638
"Capital Research Global Investors","OMNICOM GROUP INC",205,681919106,257196220,0.0633
"Capital Research Global Investors","LIGHT & WONDER INC",206,80874P109,254874038,0.0627
"Capital Research Global Investors","DRAFTKINGS INC NEW",207,26142V105,252441712,0.0621
"Capital Research Global Investors","GROCERY OUTLET HLDG CORP",208,39874R101,251871481,0.0620
"Capital Research Global Investors","FEDERAL RLTY INVT TR NEW",209,313745101,248489927,0.0611
"Capital Research Global Investors","GITLAB INC",210,37637K108,248312540,0.0611
"Capital Research Global Investors","EXTRA SPACE STORAGE INC",211,30225T102,246478035,0.0606
"Capital Research Global Investors","LIONS GATE ENTMNT CORP",212,535919500,240092735,0.0591
"Capital Research Global Investors","STANLEY BLACK & DECKER INC",213,854502101,237071795,0.0583
"Capital Research Global Investors","SS&C TECHNOLOGIES HLDGS INC",214,78467J100,233076229,0.0573
"Capital Research Global Investors","WESTERN UN CO",215,959802109,228110608,0.0561
"Capital Research Global Investors","ENTERGY CORP NEW",216,29364G103,227428876,0.0560
"Capital Research Global Investors","SYSCO CORP",217,871829107,227240652,0.0559
"Capital Research Global Investors","COCA COLA CO",218,191216100,223725506,0.0550
"Capital Research Global Investors","MERCK & CO INC",219,58933Y105,222381722,0.0547
"Capital Research Global Investors","SCHLUMBERGER LTD",220,806857108,216727345,0.0533
"Capital Research Global Investors","VAXCYTE INC",221,92243G108,216038720,0.0531
"Capital Research Global Investors","CHENIERE ENERGY INC",222,16411R208,214431392,0.0528
"Capital Research Global Investors","PEGASYSTEMS INC",223,705573103,213407190,0.0525
"Capital Research Global Investors","HDFC BANK LTD",224,40415F101,213094696,0.0524
"Capital Research Global Investors","HELEN OF TROY LTD",225,G4388N106,212749913,0.0523
"Capital Research Global Investors","TAPESTRY INC",226,876030107,211611009,0.0521
"Capital Research Global Investors","COSTAR GROUP INC",227,22160N109,210986813,0.0519
"Capital Research Global Investors","XCEL ENERGY INC",228,98389B100,209190052,0.0515
"Capital Research Global Investors","TAKEDA PHARMACEUTICAL CO LTD",229,874060205,204029677,0.0502
"Capital Research Global Investors","DIAMONDBACK ENERGY INC",230,25278X109,198812715,0.0489
"Capital Research Global Investors","ROGERS CORP",231,775133101,192962062,0.0475
"Capital Research Global Investors","KIMBERLY-CLARK CORP",232,494368103,189353893,0.0466
"Capital Research Global Investors","YUM BRANDS INC",233,988498101,188065732,0.0463
"Capital Research Global Investors","CAVA GROUP INC",234,148929102,187791697,0.0462
"Capital Research Global Investors","INTEGRA LIFESCIENCES HLDGS C",235,457985208,187148547,0.0460
"Capital Research Global Investors","AGILON HEALTH INC",236,00857U107,183551372,0.0452
"Capital Research Global Investors","NXP SEMICONDUCTORS N V",237,N6596X109,177916100,0.0438
"Capital Research Global Investors","ICF INTL INC",238,44925C103,175545667,0.0432
"Capital Research Global Investors","BLACK HILLS CORP",239,092113109,175430402,0.0432
"Capital Research Global Investors","MATERION CORP",240,576690101,175355120,0.0431
"Capital Research Global Investors","INTERNATIONAL GAME TECHNOLOG",241,G4863A108,169777266,0.0418
"Capital Research Global Investors","PATRIA INVESTMENTS LIMITED",242,G69451105,166869190,0.0411
"Capital Research Global Investors","ZTO EXPRESS CAYMAN INC",243,98980A105,166791854,0.0410
"Capital Research Global Investors","TAIWAN SEMICONDUCTOR MFG LTD",244,874039100,156628881,0.0385
"Capital Research Global Investors","SUNCOR ENERGY INC NEW",245,867224107,155778061,0.0383
"Capital Research Global Investors","MELCO RESORTS AND ENTMNT LTD",246,585464100,155235866,0.0382
"Capital Research Global Investors","COGNEX CORP",247,192422103,148234476,0.0365
"Capital Research Global Investors","CONFLUENT INC",248,20717M103,143598593,0.0353
"Capital Research Global Investors","SKECHERS U S A INC",249,830566105,143382000,0.0353
"Capital Research Global Investors","BLUE OWL CAPITAL INC",250,09581B103,139934304,0.0344
"Capital Research Global Investors","SENTINELONE INC",251,81730H109,138744406,0.0341
"Capital Research Global Investors","CUBESMART",252,229663109,136781399,0.0337
"Capital Research Global Investors","IDEXX LABS INC",253,45168D104,135910098,0.0334
"Capital Research Global Investors","BARRICK GOLD CORP",254,067901108,135340595,0.0333
"Capital Research Global Investors","LIVENT CORP",255,53814L108,133652460,0.0329
"Capital Research Global Investors","SHELL PLC",256,780259305,132362031,0.0326
"Capital Research Global Investors","UNITED PARCEL SERVICE INC",257,911312106,126283520,0.0311
"Capital Research Global Investors","NEWMONT CORP",258,651639106,124170000,0.0305
"Capital Research Global Investors","SILICON LABORATORIES INC",259,826919102,124061192,0.0305
"Capital Research Global Investors","MACOM TECH SOLUTIONS HLDGS I",260,55405Y100,123623500,0.0304
"Capital Research Global Investors","AURORA INNOVATION INC",261,051774107,121868082,0.0300
"Capital Research Global Investors","TELUS INTL CDA INC",262,87975H100,119621142,0.0294
"Capital Research Global Investors","AMERICAN ELEC PWR CO INC",263,025537101,117071426,0.0288
"Capital Research Global Investors","ASTRAZENECA PLC",264,046353108,116963885,0.0288
"Capital Research Global Investors","SBA COMMUNICATIONS CORP NEW",265,78410G104,115813666,0.0285
"Capital Research Global Investors","MATTEL INC",266,577081102,115168000,0.0283
"Capital Research Global Investors","EXELON CORP",267,30161N101,114780162,0.0282
"Capital Research Global Investors","PUBLIC STORAGE",268,74460D109,112921065,0.0278
"Capital Research Global Investors","CREDO TECHNOLOGY GROUP HOLDI",269,G25457105,110739344,0.0272
"Capital Research Global Investors","LEVI STRAUSS & CO NEW",270,52736R102,109583752,0.0270
"Capital Research Global Investors","SMARTSHEET INC",271,83200N103,109422633,0.0269
"Capital Research Global Investors","PAR TECHNOLOGY CORP",272,698884103,107204275,0.0264
"Capital Research Global Investors","INSIGHT ENTERPRISES INC",273,45765U103,103820760,0.0255
"Capital Research Global Investors","POTLATCHDELTIC CORPORATION",274,737630103,103399494,0.0254
"Capital Research Global Investors","INFOSYS LTD",275,456788108,102873782,0.0253
"Capital Research Global Investors","WILLIS TOWERS WATSON PLC LTD",276,G96629103,102422686,0.0252
"Capital Research Global Investors","SOUTHERN CO",277,842587107,100270198,0.0247
"Capital Research Global Investors","GOLDEN ENTMT INC",278,381013101,100267065,0.0247
"Capital Research Global Investors","JOHNSON & JOHNSON",279,478160104,99657643,0.0245
"Capital Research Global Investors","ASBURY AUTOMOTIVE GROUP INC",280,043436104,98718411,0.0243
"Capital Research Global Investors","SIRIUSPOINT LTD",281,G8192H106,96860000,0.0238
"Capital Research Global Investors","APPLIED INDL TECHNOLOGIES IN",282,03820C105,96645786,0.0238
"Capital Research Global Investors","VECTOR GROUP LTD",283,92240M108,93703648,0.0231
"Capital Research Global Investors","SEMTECH CORP",284,816850101,93335833,0.0230
"Capital Research Global Investors","NEW YORK TIMES CO",285,650111107,93081000,0.0229
"Capital Research Global Investors","NOVARTIS AG",286,66987V109,91248708,0.0224
"Capital Research Global Investors","ESSENT GROUP LTD",287,G3198U102,89658000,0.0221
"Capital Research Global Investors","FIRST ADVANTAGE CORP NEW",288,31846B108,87499260,0.0215
"Capital Research Global Investors","US BANCORP DEL",289,902973304,86924288,0.0214
"Capital Research Global Investors","DT MIDSTREAM INC",290,23345M107,86354662,0.0212
"Capital Research Global Investors","AMERICOLD REALTY TRUST INC",291,03064D108,85203633,0.0210
"Capital Research Global Investors","WILLSCOT MOBIL MINI HLDNG CO",292,971378104,81980793,0.0202
"Capital Research Global Investors","HILLTOP HOLDINGS INC",293,432748101,79222500,0.0195
"Capital Research Global Investors","MSC INDL DIRECT INC",294,553530106,78476500,0.0193
"Capital Research Global Investors","DIAMOND OFFSHORE DRILLING IN",295,25271C201,75988250,0.0187
"Capital Research Global Investors","ZIMMER BIOMET HOLDINGS INC",296,98956P102,73428304,0.0181
"Capital Research Global Investors","MANPOWERGROUP INC WIS",297,56418H100,72122601,0.0177
"Capital Research Global Investors","MADDEN STEVEN LTD",298,556269108,71806434,0.0177
"Capital Research Global Investors","FISERV INC",299,337738108,71295228,0.0175
"Capital Research Global Investors","IDEAYA BIOSCIENCES INC",300,45166A102,70337035,0.0173
"Capital Research Global Investors","EMERSON ELEC CO",301,291011104,66650708,0.0164
"Capital Research Global Investors","GSK PLC",302,37733W204,64967477,0.0160
"Capital Research Global Investors","MATSON INC",303,57686G105,63516269,0.0156
"Capital Research Global Investors","NUTRIEN LTD",304,67077M108,63071743,0.0155
"Capital Research Global Investors","DENALI THERAPEUTICS INC",305,24823R105,62438471,0.0154
"Capital Research Global Investors","GUARDANT HEALTH INC",306,40131M109,62254818,0.0153
"Capital Research Global Investors","WESTROCK CO",307,96145D105,60084672,0.0148
"Capital Research Global Investors","CHAMPIONX CORPORATION",308,15872M104,59164680,0.0146
"Capital Research Global Investors","TREX CO INC",309,89531P105,58391539,0.0144
"Capital Research Global Investors","STARBUCKS CORP",310,855244109,57303555,0.0141
